Text,Numerical Rating,embedding,negated_text
"Learn more about Global Warming Potential (GWP), a measure of climate impacts based on how long each greenhouse gas remains in the atmosphere and how strongly it absorbs energy. Ground-level ozone is created by a chemical reaction between emissions of nitrogen oxides and volatile organic compounds from automobiles, power plants, and other industrial and commercial sources in the presence of sunlight.",3,"[-0.05150763 -0.03509419 -0.00290655 ...  0.01135509  0.00910625
  0.0164504 ]","Ground-level ozone is not created by a chemical reaction between emissions of nitrogen oxides and volatile organic compounds from automobiles, power plants, and other industrial and commercial sources in the presence of sunlight."
"U.S. households with above-average food insecurityExit EPA’s website include those with an income below the poverty threshold, those headed by a single woman, and those with Black or Hispanic owners and lessees.",3,"[-0.03935405  0.01385651 -0.00643993 ... -0.00426052  0.02007031
 -0.0021958 ]","U.S. households with above-average food insecurity do not include those with an income below the poverty threshold, those headed by a single woman, and those with Black or Hispanic owners and lessees."
"While deforestation can increase the earth’s reflectivity globally by replacing dark trees with lighter surfaces such as crops, the net effect of all land-use changes appears to be a small cooling.",3,"[ 0.02634943 -0.01580737 -0.00884228 ... -0.00334233 -0.01568146
  0.01824544]","While deforestation can increase the earth's reflectivity globally by replacing dark trees with lighter surfaces such as crops, the net effect of all land-use changes does not appear to be a small cooling."
Some hospitals are climate-proofing their buildings and becoming more energy efficient.,3,"[-0.00063451  0.01663953 -0.01946938 ... -0.00655818  0.00146887
  0.00472585]",Some hospitals are not climate-proofing their buildings and not becoming more energy efficient.
"Certain immigrant groups and communities of color have a greater incidences of kidney disease, diabetes, and chronic obstructive pulmonary disorder (COPD).",3,"[ 0.00657864 -0.03402006 -0.01852091 ... -0.00290373  0.0100159
 -0.02335574]","Certain immigrant groups and communities of color do not have a greater incidence of kidney disease, diabetes, and chronic obstructive pulmonary disorder (COPD)."
"Climate change can also increase the frequency and severity of some extreme weather events, including heavy rainfalls.",3,"[-0.03585338 -0.00248882 -0.02029301 ... -0.00089858 -0.00204065
  0.00475954]","Climate change cannot increase the frequency and severity of some extreme weather events, including heavy rainfalls."
"Exposure to extreme or prolonged heat can cause exhaustion, heat stroke, kidney and heart disease, and pregnancy complications.,10 In fact, extreme heat is already the leading cause of weather-related deaths in the United States.",3,"[-0.01210351 -0.02354464  0.00396526 ...  0.0098454  -0.00388396
 -0.01627049]","Exposure to extreme or prolonged heat cannot cause exhaustion, heat stroke, kidney and heart disease, and pregnancy complications.,10 In fact, extreme heat is not the leading cause of weather-related deaths in the United States."
"For example, scientists predict that some areas, such as the Bering Sea, will see more kinds of fish as warming waters drive populations north.",3,"[ 0.00268385 -0.02896066 -0.01395665 ...  0.00692961  0.00368402
  0.01919344]","Scientists predict that some areas, such as the Bering Sea, will not see more kinds of fish as warming waters drive populations north."
"For example, many government agencies already use the national public warning systemExit EPA’s website to communicate extreme weather threats.",3,"[-0.0325513  -0.0107541  -0.01191012 ...  0.0008423   0.0238963
 -0.00364301]","For example, many government agencies don't already use the national public warning systemExit EPA’s website to communicate extreme weather threats."
"These impacts are especially likely to happen in low-lying areas such as Louisiana, Florida, and portions of California and the mid-Atlantic. As much of the U.S. water infrastructure nears the end of its planned life, climate change impacts, such as more extreme weather events, will further strain its ability to operate well.",3,"[-0.04138213 -0.01350701  0.00285548 ...  0.02418468 -0.01547524
 -0.00541264]","These impacts are not especially likely to happen in low-lying areas such as Louisiana, Florida, and portions of California and the mid-Atlantic. As much of the U.S. water infrastructure nears the end of its planned life, climate change impacts, such as more extreme weather events, will not further strain its ability to operate well."
"Sea level rise, melting sea ice, and thawing permafrost are all expected to damage oil and gas infrastructure in Alaska, affecting energy production. Nuclear energy impacts.",3,"[-0.03750172 -0.01813608 -0.00262613 ...  0.0326544   0.01586611
  0.0222031 ]","Sea level rise, melting sea ice, and thawing permafrost are not expected to damage oil and gas infrastructure in Alaska, affecting energy production. Nuclear energy impacts."
"Different greenhouse gases can remain in the atmosphere for different amounts of time, ranging from a few years to thousands of years.",3,"[-0.03339285 -0.01712541 -0.01219212 ... -0.00894089  0.02323276
  0.00934729]","Different greenhouse gases cannot remain in the atmosphere for different amounts of time, ranging from a few years to thousands of years."
"Climate change impacts to coastal communities affect not only human health, but also properties, infrastructure, and services. More than $1 trillion worth of property is located within 700 feet of the coast.",3,"[-0.02189418 -0.02543811 -0.00272258 ...  0.00676626  0.00555867
  0.00551138]","Climate change impacts to coastal communities do not affect only human health, but also properties, infrastructure, and services. More than $1 trillion worth of property is not located within 700 feet of the coast."
"Even without the impacts of climate change, the United States’ water supply has begun to diminish.",3,"[ 0.03049766 -0.02663925  0.00319994 ...  0.02006608 -0.01133843
  0.02282704]","Even without the impacts of climate change, the United States’ water supply has not begun to diminish."
"Mold, dust mites, bacteria, and other indoor pollutants may increase as climate change-related precipitation and storms increase.",3,"[-0.04106208 -0.00982161 -0.01550001 ... -0.00366846 -0.00089785
  0.02616629]","Mold, dust mites, bacteria, and other indoor pollutants may not increase as climate change-related precipitation and storms increase."
"Sea level rise, melting sea ice, and thawing permafrost are all expected to damage oil and gas infrastructure in Alaska, affecting energy production.",3,"[-0.03643711 -0.00822864 -0.0037946  ...  0.02078755  0.00369924
  0.03179272]","Sea level rise, melting sea ice, and thawing permafrost are not expected to damage oil and gas infrastructure in Alaska, affecting energy production."
"As a result, thousands of sea lion pups starved.",3,"[-0.02406631 -0.02923835 -0.00687276 ... -0.00610394  0.01312814
  0.01853316]","As a result, thousands of sea lion pups did not starve."
Engineers are developing solutions to help bolster system resilience.,3,"[-0.0233104   0.01174148 -0.01992208 ... -0.00721587 -0.00306478
  0.00341185]",Engineers are not developing solutions to help bolster system resilience.
"Climate change impacts affect the livelihoods of millions of Americans, including fishers, loggers, ranchers, and farmers.",3,"[-0.00499142 -0.00772166 -0.00835912 ...  0.00268965  0.00693987
  0.01306188]","Climate change impacts do not affect the livelihoods of millions of Americans, including fishers, loggers, ranchers, and farmers."
These changes could increase pesticide exposures for agricultural workers.,3,"[-0.04770036 -0.01034715 -0.00787677 ...  0.00159977  0.01034068
 -0.0042585 ]",These changes could not increase pesticide exposures for agricultural workers.
Agricultural workers face several climate-related health risks.,3,"[-0.01750818 -0.048051   -0.00137812 ... -0.01582776 -0.00221407
 -0.00743133]",Agricultural workers do not face several climate-related health risks.
"Increases in average and extreme temperatures and heat waves are expected to lead to more heat illnessesExit EPA’s website and deaths among vulnerable groups, including certain socially vulnerable groups.",3,"[-0.05332332 -0.01593429 -0.00094307 ...  0.00533301  0.01271745
  0.00873728]","Increases in average and extreme temperatures and heat waves are not expected to lead to more heat illnesses and deaths among vulnerable groups, including certain socially vulnerable groups."
About 80% of the ground in Alaska has permafrost underneath it.,3,"[-0.02382345 -0.02276365 -0.00830177 ...  0.00648024  0.00607178
  0.04025036]",About 80% of the ground in Alaska does not have permafrost underneath it.
"When a tree came in contact with electrical distribution lines, it sparked the largest wildfire in California’s history, the 2021 Dixie Fire.",3,"[ 0.01755238 -0.00279988  0.00041527 ... -0.003058   -0.00991193
  0.00883085]","When a tree came in contact with electrical distribution lines, it didn't spark the largest wildfire in California’s history, the 2021 Dixie Fire."
"They also breathe at a faster rate, increasing their exposure to dangerous air pollutants. Children tend to spend more time outdoors than adults, increasing their exposure to heat and cold, rain and snow, outdoor allergens, and insect bites. Children drink more water than adults per pound of body weight.",3,"[-0.0138638  -0.02861115 -0.00184017 ...  0.01248652  0.0196458
 -0.01647545]","They do not breathe at a faster rate, decreasing their exposure to dangerous air pollutants. Children do not tend to spend more time outdoors than adults, decreasing their exposure to heat and cold, rain and snow, outdoor allergens, and insect bites. Children do not drink more water than adults per pound of body weight."
"They also recover in a few days to a week. Trauma from extreme weather events can cause psychological stress, worsen mental illnesses, and add emotional stress for pregnant and postpartum women.",3,"[-0.0001966  -0.03981008 -0.00746918 ...  0.01680246  0.00785221
  0.01283805]","They do not recover in a few days to a week. Trauma from extreme weather events cannot cause psychological stress, worsen mental illnesses, or add emotional stress for pregnant and postpartum women."
